H19
Ngfr
Wnt3
Ccnd2
Ins2
Drp2
Lhx2
Scpep1
Tpd52l1
Cdh4
Clec10a
Rnf17
Mx1
Fap
Gcg
Egfl6
Pparg
Zfp385a
Gabra2
Sox9
Gm2a
Sema4f
Sez6
Sult5a1
Wfdc18
Pcbp3
Gabrg1
Col1a1
Csn3
Hoxc8
Il16
Cpa3
Ltbp1
Kcnh6
Vwf
Grik3
Gria3
Spag5
Spi1
Zim1
Rgs20
Scin
Lcp2
Jag2
Lamb1
Cd36
Apoe
Dlgap1
Hck
Ccdc65
Elavl3
Rab3b
Cp
Calb2
Man1a
Calr
Hlf
Grm3
Brinp2
Col5a3
Cacna1e
Cacna1b
Psap
Pax2
Pde1c
Col26a1
Cd33
Chn2
Tyr
Abca13
Cd244a
Adgre1
Pax3
Slc25a18
Cd44
Slc1a2
Ccn4
Ndrg1
Corin
Spc25
Dnah2
Cadm3
Nid1
Mef2c
Irag1
Insrr
Mmp8
Tuft1
Rcn1
Tyrp1
Prg4
Cdcp3
Cbfa2t3
Tek
Neurl1a
Slc4a1
Runx1t1
Pola1
Krt23
Cnp
Pole
Atp1a2
Pcdha10
Gabrb2
Cav1
Dio2
Twist2
Hmgcll1
Fhl2
Spib
Tle1
Elavl2
Pou2f2
Rbfox1
Cldn13
Cd163
Trpm2
Mpo
Met
Syn2
Otog
Kcnq1
Apobec3
Tex15
Pou6f2
Wnt3a
Slc47a1
Myt1
Gabra1
Grid2ip
Panx3
Cfap161
Vipr2
Adam19
Mogat1
Tjap1
Steap4
Kif11
Cdh23
Etv5
Bcas1
Aldh1a2
St3gal1
Pax5
Bicc1
Blk
Csf1
Ceacam16
Stc1
Oc90
Ptgds
Aldh1a3
Abca1
Slamf6
Cybb
Pcolce2
Cd83
Notch4
Fam163a
Itga2
Arnt2
Tnr
Rxrg
Fcrls
Fam184b
Ncapg
Il17rb
Cacna1d
Stk32c
Lbp
Fli1
Stard13
Tenm1
Hsd11b1
Syt14
Mpped2
Ppfibp1
Lnx2
Cmah
Scube1
Sdc4
Brca1
Pyy
Cacnb4
Abr
Hnf4g
Eya2
Cadps2
Cyth4
Baiap2l2
Ikzf3
